"Status","Name","Duration in ms","Description"
"passed","Delete Trade Test.delete the trade","4625",""
"passed","Trade Search Test.search the trade","18411",""
"passed","Create Trade Test.enter the details for trade create","26893",""
"passed","Create Trade Test.login to trade search","14422",""
"passed","Edit Trade Test.login to trade search","19966",""
"passed","Trade Search Test.login to trade search","9994",""
"passed","Edit Trade Test.edit the trade","30881",""
"passed","Delete Trade Test.login to trade search","10379",""
